Time,Message,Port,Sequence,% Idle Time,Time Status,Week,Seconds,Receiver Status,Reserved,Receiver S/W Version,P-sol status,pos type,P-X (m),P-Y (m),P-Z (m),P-X ó (m),P-Y ó (m),P-Z ó (m),V-sol status,vel type,V-X (m/s),V-Y (m/s),V-Z (m/s),V-X ó (m/s),V-Y ó (m/s),V-Z ó (m/s),stn ID,V-latency (s),diff_age (s),sol_age (s),#SVs,#ggL1,#solnMultiSVs
10/09/2025 11:27:26.086 AM,#BESTXYZA,COM2,0,89.5,FINESTEERING,2159,69537,02004000,44cf,16410,SOL_COMPUTED,SINGLE,6053485.276,2617513.337,1865653.336,2.5976,1.9554,1.7937,SOL_COMPUTED,DOPPLER_VELOCITY,-1304.7822,-2196.2198,7269.1776,0.3105,0.2337,0.2144,"""""",0,0,0,8,8,8
10/09/2025 11:27:27.086 AM,#BESTXYZA,COM2,0,90,FINESTEERING,2159,69538,02004000,44cf,16410,SOL_COMPUTED,SINGLE,6052176.67,2615315.603,1872921.391,2.5973,1.9552,1.7937,SOL_COMPUTED,DOPPLER_VELOCITY,-1312.5792,-2199.2631,7266.8516,0.3104,0.2337,0.2144,"""""",0,0,0,8,8,8
10/09/2025 11:27:28.089 AM,#BESTXYZA,COM2,0,90,FINESTEERING,2159,69539,02004000,44cf,16410,SOL_COMPUTED,SINGLE,6050860.283,2613114.833,1880187.112,2.5972,1.9552,1.7937,SOL_COMPUTED,DOPPLER_VELOCITY,-1320.3311,-2202.3268,7264.5415,0.3104,0.2337,0.2144,"""""",0,0,0,8,8,8
10/09/2025 11:27:29.091 AM,#BESTXYZA,COM2,0,90.5,FINESTEERING,2159,69540,02004000,44cf,16410,SOL_COMPUTED,SINGLE,6049536.104,2610911.048,1887450.482,2.5971,1.9551,1.7937,SOL_COMPUTED,DOPPLER_VELOCITY,-1328.1353,-2205.3414,7262.1866,0.3104,0.2337,0.2144,"""""",0,0,0,8,8,8
10/09/2025 11:27:29.891 AM,#BESTXYZA,COM2,0,90,FINESTEERING,2159,69541,02004000,44cf,16410,SOL_COMPUTED,SINGLE,6048204.142,2608704.229,1894711.53,2.5971,1.9551,1.7938,SOL_COMPUTED,DOPPLER_VELOCITY,-1335.9539,-2208.3967,7259.8553,0.3104,0.2337,0.2144,"""""",0,0,0,8,8,8
10/09/2025 11:27:30.894 AM,#BESTXYZA,COM2,0,89.5,FINESTEERING,2159,69542,02004000,44cf,16410,SOL_COMPUTED,SINGLE,6046864.4,2606494.399,1901970.22,2.597,1.955,1.7939,SOL_COMPUTED,DOPPLER_VELOCITY,-1343.7027,-2211.3608,7257.4678,0.3104,0.2337,0.2144,"""""",0,0,0,8,8,8
10/09/2025 11:27:31.894 AM,#BESTXYZA,COM2,0,89.5,FINESTEERING,2159,69543,02004000,44cf,16410,SOL_COMPUTED,SINGLE,6045516.879,2604281.539,1909226.542,2.5968,1.9549,1.7939,SOL_COMPUTED,DOPPLER_VELOCITY,-1351.4968,-2214.402,7255.0976,0.3104,0.2337,0.2144,"""""",0,0,0,8,8,8
10/09/2025 11:27:32.899 AM,#BESTXYZA,COM2,0,90.5,FINESTEERING,2159,69544,02004000,44cf,16410,SOL_COMPUTED,SINGLE,6044161.554,2602065.649,1916480.501,2.5968,1.9548,1.794,SOL_COMPUTED,DOPPLER_VELOCITY,-1359.2471,-2217.4256,7252.7499,0.3104,0.2336,0.2144,"""""",0,0,0,8,8,8
10/09/2025 11:27:33.698 AM,#BESTXYZA,COM2,0,90.5,FINESTEERING,2159,69545,02004000,44cf,16410,SOL_COMPUTED,SINGLE,6042798.468,2599846.76,1923732.063,2.5966,1.9547,1.794,SOL_COMPUTED,DOPPLER_VELOCITY,-1367.0573,-2220.4536,7250.3444,0.3104,0.2336,0.2144,"""""",0,0,0,8,8,8
10/09/2025 11:27:34.702 AM,#BESTXYZA,COM2,0,91,FINESTEERING,2159,69546,02004000,44cf,16410,SOL_COMPUTED,SINGLE,6041427.597,2597624.859,1930981.232,2.5964,1.9546,1.794,SOL_COMPUTED,DOPPLER_VELOCITY,-1374.8294,-2223.433,7247.9367,0.3103,0.2336,0.2144,"""""",0,0,0,8,8,8
