Time,MSGS RECEIVED
10/09/2025 11:27:25.686 AM,"#TIMEA,COM2,0,89.5,FINESTEERING,2159,69537.000,02004000,9924,16410;VALID,-8.854014593e-11,1.128558749e-09,-18.00000000000,2021,5,23,19,18,39000,VALID*3ca91b89
"
10/09/2025 11:27:25.886 AM,"$GPGSV,3,1,10,21,73,247,43,09,57,255,43,22,54,027,43,04,31,153,*77
$GPGSV,3,2,10,16,26,330,42,13,18,117,41,19,17,288,41,20,13,054,41*78
$GPGSV,3,3,10,06,07,209,41,07,04,174,*76
"
10/09/2025 11:27:26.086 AM,"#BESTXYZA,COM2,0,89.5,FINESTEERING,2159,69537.000,02004000,44cf,16410;SOL_COMPUTED,SINGLE,6053485.2759,2617513.3372,1865653.3362,2.5976,1.9554,1.7937,SOL_COMPUTED,DOPPLER_VELOCITY,-1304.7822,-2196.2198,7269.1776,0.3105,0.2337,0.2144,"""",0.000,0.000,0.000,8,8,8,0,0,02,00,01*bfecf6dc
"
10/09/2025 11:27:26.287 AM,"#HWMONITORA,COM2,0,89.5,FINESTEERING,2159,69537.000,02004000,52db,16410;9,31.807083130,100,0.129304036,200,3.274725437,600,5.061782837,700,1.199023247,800,3.274725437,f00,1.832722902,1100,5.100854874,1500,33.150184631,1600*d97eb3c8
"
10/09/2025 11:27:26.487 AM,"#PSRDOPA,COM2,0,90.0,FINESTEERING,2159,69538.000,02004000,1779,16410;1.6570,1.5070,0.9000,1.1320,0.6870,5.0,8,9,16,20,19,21,6,22,13*6afb2ad1
"
10/09/2025 11:27:26.687 AM,"#TIMEA,COM2,0,90.0,FINESTEERING,2159,69538.000,02004000,9924,16410;VALID,-6.358297067e-11,1.121052446e-09,-18.00000000000,2021,5,23,19,18,40000,VALID*b6409c16
"
10/09/2025 11:27:26.887 AM,"$GPGSV,3,1,10,21,73,247,43,09,57,255,43,22,54,027,43,04,31,153,*77
$GPGSV,3,2,10,16,26,330,42,13,18,117,41,19,17,288,42,20,13,054,41*7B
$GPGSV,3,3,10,06,07,209,41,07,04,174,*76
"
10/09/2025 11:27:27.086 AM,"#BESTXYZA,COM2,0,90.0,FINESTEERING,2159,69538.000,02004000,44cf,16410;SOL_COMPUTED,SINGLE,6052176.6703,2615315.6032,1872921.3905,2.5973,1.9552,1.7937,SOL_COMPUTED,DOPPLER_VELOCITY,-1312.5792,-2199.2631,7266.8516,0.3104,0.2337,0.2144,"""",0.000,0.000,0.000,8,8,8,0,0,02,00,01*ba791fe6
"
10/09/2025 11:27:27.288 AM,"#HWMONITORA,COM2,0,90.0,FINESTEERING,2159,69538.000,02004000,52db,16410;9,31.807083130,100,0.129426137,200,3.269841433,600,5.061782837,700,1.192918181,800,3.271062374,f00,1.832112312,1100,5.100854874,1500,33.150184631,1600*cde0c2a3
"
10/09/2025 11:27:27.488 AM,"#PSRDOPA,COM2,0,90.0,FINESTEERING,2159,69539.000,02004000,1779,16410;1.6570,1.5070,0.9000,1.1320,0.6870,5.0,8,9,16,20,19,21,6,22,13*3d3e62c8
"
10/09/2025 11:27:27.688 AM,"#TIMEA,COM2,0,90.0,FINESTEERING,2159,69539.000,02004000,9924,16410;VALID,1.007330411e-11,1.114429604e-09,-18.00000000000,2021,5,23,19,18,41000,VALID*dba68d69
"
10/09/2025 11:27:27.889 AM,"$GPGSV,3,1,10,21,73,247,43,09,57,255,43,22,54,027,43,04,31,153,*77
$GPGSV,3,2,10,16,26,330,42,13,18,117,41,19,17,288,41,20,13,054,41*78
$GPGSV,3,3,10,06,07,209,41,07,04,174,*76
"
10/09/2025 11:27:28.089 AM,"#BESTXYZA,COM2,0,90.0,FINESTEERING,2159,69539.000,02004000,44cf,16410;SOL_COMPUTED,SINGLE,6050860.2829,2613114.8333,1880187.1117,2.5972,1.9552,1.7937,SOL_COMPUTED,DOPPLER_VELOCITY,-1320.3311,-2202.3268,7264.5415,0.3104,0.2337,0.2144,"""",0.000,0.000,0.000,8,8,8,0,0,02,00,01*8d6f7bf4
"
10/09/2025 11:27:28.289 AM,"#HWMONITORA,COM2,0,90.0,FINESTEERING,2159,69539.000,02004000,52db,16410;9,31.807083130,100,0.129304036,200,3.273504257,600,5.061782837,700,1.195360184,800,3.275946379,f00,1.813186884,1100,5.100854874,1500,33.150184631,1600*cbd764a6
"
10/09/2025 11:27:28.490 AM,"#PSRDOPA,COM2,0,90.5,FINESTEERING,2159,69540.000,02004000,1779,16410;1.6570,1.5070,0.9000,1.1320,0.6870,5.0,8,9,16,20,19,21,6,22,13*a89e96e0
"
10/09/2025 11:27:28.690 AM,"#TIMEA,COM2,0,90.5,FINESTEERING,2159,69540.000,02004000,9924,16410;VALID,1.412687463e-10,1.108601125e-09,-18.00000000000,2021,5,23,19,18,42000,VALID*c7941981
"
10/09/2025 11:27:28.889 AM,"$GPGSV,3,1,10,21,73,247,43,09,57,255,43,22,54,027,43,04,31,153,*77
$GPGSV,3,2,10,16,26,330,42,13,18,117,42,19,17,288,41,20,13,054,41*7B
$GPGSV,3,3,10,06,07,209,41,07,04,174,*76
"
10/09/2025 11:27:29.091 AM,"#BESTXYZA,COM2,0,90.5,FINESTEERING,2159,69540.000,02004000,44cf,16410;SOL_COMPUTED,SINGLE,6049536.1036,2610911.0479,1887450.4820,2.5971,1.9551,1.7937,SOL_COMPUTED,DOPPLER_VELOCITY,-1328.1353,-2205.3414,7262.1866,0.3104,0.2337,0.2144,"""",0.000,0.000,0.000,8,8,8,0,0,02,00,01*bf03cee5
"
10/09/2025 11:27:29.291 AM,"#HWMONITORA,COM2,0,90.5,FINESTEERING,2159,69540.000,02004000,52db,16410;9,31.807083130,100,0.129181936,200,3.274725437,600,5.061782837,700,1.192918181,800,3.272283316,f00,1.844932914,1100,5.100854874,1500,33.150184631,1600*e7943924
"
10/09/2025 11:27:29.491 AM,"#PSRDOPA,COM2,0,90.0,FINESTEERING,2159,69541.000,02004000,1779,16410;1.6570,1.5080,0.9020,1.1340,0.6870,5.0,8,9,16,20,19,21,6,22,13*15b873d9
"
10/09/2025 11:27:29.690 AM,"#TIMEA,COM2,0,90.0,FINESTEERING,2159,69541.000,02004000,9924,16410;VALID,3.230991130e-11,1.115211184e-09,-18.00000000000,2021,5,23,19,18,43000,VALID*8cf5bcc5
"
10/09/2025 11:27:29.891 AM,"#BESTXYZA,COM2,0,90.0,FINESTEERING,2159,69541.000,02004000,44cf,16410;SOL_COMPUTED,SINGLE,6048204.1423,2608704.2285,1894711.5296,2.5971,1.9551,1.7938,SOL_COMPUTED,DOPPLER_VELOCITY,-1335.9539,-2208.3967,7259.8553,0.3104,0.2337,0.2144,"""",0.000,0.000,0.000,8,8,8,0,0,02,00,01*f7ad9a6e
"
10/09/2025 11:27:30.092 AM,"#HWMONITORA,COM2,0,90.0,FINESTEERING,2159,69541.000,02004000,52db,16410;9,31.807083130,100,0.129304036,200,3.268620491,600,5.061782837,700,1.199023247,800,3.273504257,f00,1.818070889,1100,5.100854874,1500,33.150184631,1600*72473261
"
10/09/2025 11:27:30.292 AM,"#PSRDOPA,COM2,0,89.5,FINESTEERING,2159,69542.000,02004000,1779,16410;1.6570,1.5080,0.9020,1.1340,0.6870,5.0,8,9,16,20,19,21,6,22,13*6024c9da
"
10/09/2025 11:27:30.492 AM,"#TIMEA,COM2,0,89.5,FINESTEERING,2159,69542.000,02004000,9924,16410;VALID,-3.461505202e-11,1.121669510e-09,-18.00000000000,2021,5,23,19,18,44000,VALID*48309963
"
